Pos,Car #,Class,Drivers,Team,Car,Avg Time,Time 1,Time 2,Time 3,Time 4
12,26,Pro Cup,"Markus Winkelhock, Finlay Hutchison, Frederic Vervisch",Sainteloc Racing,Audi R8 LMS GT3,1:54.555,1:54.241,1:55.477,1:53.949,
13,35,Pro Cup,"Timo Glock, Martin Tomczyk, Thomas Neubauer",Walkenhorst Motorsport,BMW M6 GT3,1:54.565,1:54.322,1:54.790,1:54.583,
14,32,Pro Cup,"Dries Vanthoor, Kelvin van der Linde, Charles Weerts",Team WRT,Audi R8 LMS GT3,1:54.587,1:54.587,1:54.453,1:54.722,
15,25,Pro Cup,"Adrien Tambay, Alexandre Cougnaud, Christopher Haase",Sainteloc Racing,Audi R8 LMS GT3,1:54.600,1:54.575,1:55.333,1:53.892,
16,87,Silver Cup,"Simon Gachet, Thomas Drouet, Konstantin Tereschenko",AKKA ASP,Mercedes-AMG GT3,1:54.624,1:54.929,1:54.576,1:54.368,
17,14,Silver Cup,"Alex Fontana, Rolf Ineichen, Ricardo Feller",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:54.652,1:54.720,1:55.096,1:54.142,
18,90,Silver Cup,"Ezequiel Perez Companc, Ricardo Sanchez, Rik Breukers",Madpanda Motorsport,Mercedes-AMG GT3,1:54.681,1:54.513,1:55.252,1:54.279,
19,38,Pro Cup,"Rob Bell, Oliver Wilkinson, Ben Barnicoat",JOTA,McLaren 720S GT3,1:54.691,1:54.839,1:54.997,1:54.239,
20,7,Silver Cup,"Oscar Tunjo, Paul Petit, Marvin Dienst",Toksport,Mercedes-AMG GT3,1:54.775,1:54.872,1:55.608,1:53.846,
21,57,Silver Cup,"Russel Ward, Mikael Grenier, Philip Ellis",Winward Racing,Mercedes-AMG GT3,1:54.787,1:55.564,1:54.584,1:54.215,
22,56,Pro Cup,"Romain Dumas, Andrea Rizzoli, Mikkel O. Pedersen",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:54.828,1:54.848,1:55.032,1:54.604,
23,111,Pro Cup,"Patryk Krupinski, Karol Bascz, Christian Klien",JP Motorsport,McLaren 720S GT3,1:54.943,1:55.775,1:54.728,1:54.327,
24,188,Pro-AM Cup,"Chris Goodwin, Alexander West, Jonny Adam",Garage 59,Aston Martin Vantage AMR GT3,1:54.945,1:55.244,1:55.662,1:53.931,
25,30,Silver Cup,"James Pull, Stuart Hall, Benjamin Goethe",Team WRT,Audi R8 LMS GT3,1:55.068,1:54.641,1:55.353,1:55.211,
26,31,Silver Cup,"Ryuichiro Tomita, Frank Bird, Valdemar Eriksen",Team WRT,Audi R8 LMS GT3,1:55.129,1:54.672,1:54.873,1:55.842,
27,99,Silver Cup,"Dennis Marschall, Alex Aka, Max Hofer",Attempto Racing,Audi R8 LMS GT3,1:55.159,1:55.353,1:55.200,1:54.924,
28,5,Silver Cup,"Gabriele Piana, Patrick Assenheimer, Hubert Haupt",HRT,Mercedes-AMG GT3,1:55.274,1:55.248,1:55.345,1:55.229,
29,16,Silver Cup,"Tim Zimmermann, Kikko Galbiati, Clemens Schmid",GRT Grasser Racing Team,Lamborghini Huracan GT3 Evo,1:55.326,1:55.715,1:55.228,1:55.037,
30,33,Silver Cup,"David Perel, Benjamin Hites, Nico Varrone",Rinaldi Racing,Ferrari 488 GT3,1:55.345,1:55.484,1:55.380,1:55.171,
31,66,Pro Cup,"Christopher Mies, Mattia Drudi, Kim Luis Schramm",Attempto Racing,Audi R8 LMS GT3,1:55.404,1:55.266,1:55.293,1:55.654,
32,93,Pro-AM Cup,"Chris Froggatt, Jonathan Hui, Edward Cheever",SKY - Tempesta Racing,Ferrari 488 GT3,1:55.469,1:56.154,1:55.783,1:54.470,
33,52,Pro-AM Cup,"Lorenzo Bontempelli, Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:55.491,1:55.971,1:55.853,1:54.649,
34,40,Silver Cup,"Miklas Born, Yannick Mettler, Jordan Love",SPS automotive performance,Mercedes-AMG GT3,1:55.596,1:55.731,1:55.275,1:55.784,
35,77,Pro-AM Cup,"Henrique Chaves, Miguel Ramos, Leo Machitski",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:55.633,1:54.888,1:55.550,1:56.463,
36,107,Silver Cup,"Gilles Vannelet, Stuart White, Nelson Panciatici",CMR,Bentley Continental GT3,1:55.686,1:56.487,1:55.744,1:54.827,
37,69,Pro-AM Cup,"Rob Collard, Sam de Haan, Fabian Schiller",Ram Racing,Mercedes-AMG GT3,1:55.773,1:56.158,1:56.049,1:55.113,
38,20,Pro-AM Cup,"Martin Konrad, Valentin Pierburg, Dominik Baumann",SPS automotive performance,Mercedes-AMG GT3,1:55.826,1:56.222,1:56.299,1:54.959,
39,53,Pro-AM Cup,"Rino Mastronardi, Duncan Cameron, Matt Griffin",AF Corse,Ferrari 488 GT3,1:55.849,1:55.121,1:57.179,1:55.247,
40,19,Pro-AM Cup,"Phil Keen, Hiroshi Hamaguchi",Orange 1 FFF Racing Team,Lamborghini Huracan GT3 Evo,1:55.852,1:55.255,1:56.303,1:56.000,
41,2,Pro-AM Cup,"Nico Bastian, Olivier Grotz, Florian Scholze",GetSpeed,Mercedes-AMG GT3,1:55.908,1:55.349,1:56.588,1:55.788,
42,70,Pro-AM Cup,"Oliver Millroy, Brendan Iribe, Nick Moss",Inception Racing,McLaren 720S GT3,1:56.065,1:54.941,1:56.621,1:56.635,
43,11,Pro-AM Cup,"Tim Kohmann, Francesco Zollo, Giorgio Roda",Kessel Racing,Ferrari 488 GT3,1:56.093,1:55.997,1:56.808,1:55.474,
44,222,Pro-AM Cup,"Jan Kasperlik, Julien Apotheloz, Nicolas Schöll",Team Allied Racing,Porsche 911 GT3-R (991.II),1:56.209,1:57.051,1:56.153,1:55.424,
45,10,Pro-AM Cup,"Karim Ojjeh, Jens Liebhauser, Jens Klingmann",Boutsen Ginion,BMW M6 GT3,1:56.655,1:57.816,1:57.206,1:54.943,
46,83,Pro-AM Cup,"Sarah Bovy, Doriane Pin, Katherine Legge",Iron Lynx,Ferrari 488 GT3,1:56.735,1:57.656,1:56.321,1:56.228,
47,24,Silver Cup,"Milan Dontje, Patrick Kolb, Simon Reicher",Car Collection,Audi R8 LMS GT3,1:56.897,1:56.461,1:56.978,1:57.252,
