Season,Meeting,Event name,Pos,Car #,Class,Special Class,Drivers,Team,Car,Best lap set,Time,Time timedelta,Laps,Gap,Gap Timedelta,Dropped off the Race
2021,Barcelona,Main Race,24,25,Pro Cup,False,"Adrien Tambay, Alexandre Cougnaud, Christopher Haase",Sainteloc Racing,Audi R8 LMS GT3,True,1:48.218,0 days 00:01:48.218000,94,11.757,0 days 00:00:11.757000,False
2021,Barcelona,Main Race,25,20,Pro-Am Cup,False,"Dominik Baumann, Valentin Pierburg, Martin Konrad",SPS automotive performance,Mercedes-AMG GT3,True,1:47.758,0 days 00:01:47.758000,94,13.736,0 days 00:00:13.736000,False
2021,Barcelona,Main Race,26,77,Pro-Am Cup,False,"Henrique Chaves, Adrian Amstutz, Miguel Ramos",Barwell Motorsport,Lamborghini Huracan GT3 Evo,True,1:48.305,0 days 00:01:48.305000,94,16.909,0 days 00:00:16.909000,False
2021,Barcelona,Main Race,27,97,Pro-Am Cup,False,"Ahmad Al Harthy, Giacomo Petrobelli, Charlie Eastwood",Oman Racing Team,Aston Martin Vantage AMR GT3,True,1:48.736,0 days 00:01:48.736000,94,17.310,0 days 00:00:17.310000,False
2021,Barcelona,Main Race,28,93,Pro-Am Cup,False,"Rino Mastronardi, Jonathan Hui, Chris Froggatt",SKY - Tempesta Racing,Ferrari 488 GT3,True,1:48.434,0 days 00:01:48.434000,94,19.769,0 days 00:00:19.769000,False
2021,Barcelona,Main Race,29,57,Silver Cup,False,"Russel Ward, Mikael Grenier",Winward Racing,Mercedes-AMG GT3,True,1:48.535,0 days 00:01:48.535000,94,25.798,0 days 00:00:25.798000,False
2021,Barcelona,Main Race,30,159,Silver Cup,False,"Alex MacDowall, Nicolai Kjaergaard, Valentin Hasse Clot",Garage 59,Aston Martin Vantage AMR GT3,True,1:48.766,0 days 00:01:48.766000,94,29.563,0 days 00:00:29.563000,False
2021,Barcelona,Main Race,31,52,Pro-Am Cup,False,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,True,1:48.657,0 days 00:01:48.657000,94,31.501,0 days 00:00:31.501000,False
2021,Barcelona,Main Race,32,107,Silver Cup,False,"Pierre Alexandre Jean, Stephane Tribaudini, Stuart White",CMR,Bentley Continental GT3,True,1:48.601,0 days 00:01:48.601000,94,32.302,0 days 00:00:32.302000,False
2021,Barcelona,Main Race,33,83,Pro-Am Cup,False,"Doriane Pin, Sarah Bovy, Michelle Gatting",Iron Lynx,Ferrari 488 GT3,True,1:49.522,0 days 00:01:49.522000,94,32.847,0 days 00:00:32.847000,False
2021,Barcelona,Main Race,34,488,Pro-Am Cup,False,"Christian Hook, Manuel Lauck, Jeroen Bleekemolen",Rinaldi Racing,Ferrari 488 GT3,True,1:48.463,0 days 00:01:48.463000,93,12.742,0 days 00:00:12.742000,False
2021,Barcelona,Main Race,35,19,Pro-Am Cup,False,"Phil Keen, Stefano Costantini, Hiroshi Hamaguchi",Orange 1 FFF Racing Team,Lamborghini Huracan GT3 Evo,True,1:48.355,0 days 00:01:48.355000,93,13.237,0 days 00:00:13.237000,False
2021,Barcelona,Main Race,36,11,Pro-Am Cup,False,"Tim Kohmann, Francesco Zollo, Giorgio Roda",Kessel Racing,Ferrari 488 GT3,True,1:49.101,0 days 00:01:49.101000,93,31.834,0 days 00:00:31.834000,False
